title,author
The Kitchen God's Wife,Amy Tan
The Testament,John Grisham
Beloved (Plume Contemporary Fiction),Toni Morrison
Wild Animus,Rich Shapero
Airframe,Michael Crichton
Timeline,MICHAEL CRICHTON
To Kill a Mockingbird,Harper Lee
Seabiscuit: An American Legend,LAURA HILLENBRAND
Pigs in Heaven,Barbara Kingsolver
Pride and Prejudice,Jane Austen
Icebound,Dean R. Koontz
I'll Be Seeing You,Mary Higgins Clark
From the Corner of His Eye,Dean Koontz
Isle of Dogs,Patricia Cornwell
Purity in Death,J.D. Robb
The Street Lawyer,JOHN GRISHAM
Breathing Lessons,Anne Tyler
The Joy Luck Club,Amy Tan
The Tao of Pooh,Benjamin Hoff
Seabiscuit,LAURA HILLENBRAND
The Catcher in the Rye,J.D. Salinger
Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt
Pretend You Don't See Her,Mary Higgins Clark
Fast Women,Jennifer Crusie
The Pillars of the Earth,Ken Follett
The Five People You Meet in Heaven,Mitch Albom
The Alibi,Sandra Brown
The Beach House,James Patterson
Angels &amp; Demons,Dan Brown
The Girl Who Loved Tom Gordon,Stephen King
Little Altars Everywhere: A Novel,Rebecca Wells
Before I Say Good-Bye,Mary Higgins Clark
Slow Waltz in Cedar Bend,Robert James Waller
Atonement : A Novel,IAN MCEWAN
Rebecca,Daphne Du Maurier
Contact,Susan Grant
Wish You Well,David Baldacci
The Hitchhiker's Guide to the Galaxy,Douglas Adams
Bridget Jones's Diary,Helen Fielding
Fahrenheit 451,Ray Bradbury
The God of Small Things,Arundhati Roy
Four Blind Mice,James Patterson
Congo,Michael Crichton
Plainsong (Vintage Contemporaries),KENT HARUF
Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell
All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell
The Brethren,JOHN GRISHAM
The King of Torts,John Grisham
Bleachers,John Grisham
Sisterhood of the Traveling Pants,ANN BRASHARES
Roses Are Red (Alex Cross Novels),James Patterson
The Rescue,Nicholas Sparks
Pet Sematary,Stephen King
Girl with a Pearl Earring,Tracy Chevalier
Deception Point,Dan Brown
Tis : A Memoir,Frank McCourt
